jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts
,2019-09-22 17:00:00,Aula Arcade,Aula Arcade Jam 8,3,0,2,2019-09-20 16:00:00,https://www.itch.io/jam/aula-arcade-jam-8,u,49.0,948,Aula Arcade Jam 8,0,0,1
,2017-11-19 13:00:00,UnityTreenit,BayJam 2017,4,0,2,2017-11-17 10:00:00,https://www.itch.io/jam/bayjam-2017,u,51.0,911,BayJam 2017,0,0,1
,2018-12-05 06:30:00,Michael Matthews,Classy Bogan Studios Opening Jam,7,0,2,2018-12-02 22:30:00,https://www.itch.io/jam/classy-bogan-studios-opening-jam,u,56.0,257,Classy Bogan Studios Opening Jam,0,0,1
,2019-03-25 04:00:00,zimura,Machine Jam,8,0,2,2019-03-22 11:00:00,https://www.itch.io/jam/research-jam,u,65.0,242,Machine Jam,0,0,1
,2019-01-28 11:00:00,ilia_kole,Super Short 2 Day Jam,3,0,2,2019-01-25 18:00:00,https://www.itch.io/jam/super-short-2-day-jam,u,65.0,548,Super Short 2 Day Jam,0,0,1
,2016-11-06 18:00:00,Pulse College,VirginiaJam @ Pulse College,11,0,2,2016-11-04 00:00:00,https://www.itch.io/jam/virginia-jam,u,66.0,1122,VirginiaJam @ Pulse College,0,0,1
,2019-07-28 19:00:00,AlexBellUnity,✨ GAY(M) Jam 2.0 @ Unity Brighton 🏳‍🌈,7,0,2,2019-07-25 23:00:00,https://www.itch.io/jam/gaym-jam-20-unity-brighton,u,68.0,7466,✨ GAY(M) Jam 2.0 @ Unity Brighton 🏳‍🌈,0,0,1
,2018-10-04 19:00:00,AuroraGDC,Aurora SIEGE Submissions 2018,5,0,2,2018-10-01 21:26:35,https://www.itch.io/jam/agdcsiege,u,69.55694444444444,0,Aurora SIEGE Submissions 2018,0,0,1
,2018-03-12 03:59:59,LexLoco,Odd Weekend Game Jam,5,0,2,2018-03-09 05:00:00,https://www.itch.io/jam/odd-weekend-game-jam,u,70.99972222222222,610,Odd Weekend Game Jam,0,0,1
,2018-03-18 22:59:59,Darksylvok,CometJam 3,9,0,2,2018-03-15 23:00:00,https://www.itch.io/jam/cometjam-3,u,71.99972222222222,3532,CometJam 3,2,0,1
,2018-11-19 04:59:59,Thedrdevin||LexLoco,Even Weekend Game Jam 1,8,0,2,2018-11-16 05:00:00,https://www.itch.io/jam/even-weekend-game-jam,u,71.99972222222222,703,Even Weekend Game Jam 1,1,0,2
,2018-12-17 04:59:59,Thedrdevin||LexLoco,Even Weekend Game Jam  3,10,0,2,2018-12-14 05:00:00,https://www.itch.io/jam/even-weekend-game-jam-3,u,71.99972222222222,679,Even Weekend Game Jam  3,1,0,2
,2019-02-18 04:59:59,LexLoco||Thedrdevin||Odd Weekend Game Jam,Odd Weekend Game Jam 20,5,0,2,2019-02-15 05:00:00,https://www.itch.io/jam/odd-weekend-game-jam-20,u,71.99972222222222,777,Odd Weekend Game Jam 20,1,0,3
,2019-09-01 22:59:59,jackdawfactories,Lead Roll,11,0,2,2019-08-29 23:00:00,https://www.itch.io/jam/lead-roll,u,71.99972222222222,737,Lead Roll,0,0,1
