jam_desc_len,jam_name,jam_no_illustrations,jam_no_videos,jam_url
0,UL Game Jam 2018,0,0,https://www.itch.io/jam/ul-game-jam-2018
3027,Game Jam 4 Weekend #11,0,0,https://www.itch.io/jam/gj4w11
548,Super Short 2 Day Jam,0,0,https://www.itch.io/jam/super-short-2-day-jam
60,HEJ #4,0,0,https://www.itch.io/jam/hej-4
683,LÖVE-Jam 2,0,0,https://www.itch.io/jam/love-jam-2
276,Retro Adventure Jam,0,0,https://www.itch.io/jam/retro-adventure-jam
185,48LezGameJam#1,0,0,https://www.itch.io/jam/48lezgamejam1
281,Little People Game Jam,0,0,https://www.itch.io/jam/little-people-game-jam
585,The bunnies are comming,0,0,https://www.itch.io/jam/the-bunnies-are-comming
589,Game Jam UT Game Dev A17,0,0,https://www.itch.io/jam/game-jam-ut-game-dev-a17
75,"Game A Week 6 ""Guardian""",0,0,https://www.itch.io/jam/game-a-week-06
74,St. Thomas Triangle Jam,0,0,https://www.itch.io/jam/ust-triangle-jam
128,THE SEATHUS KFC CHICKEN JAM,0,0,https://www.itch.io/jam/the-seathus-kfc-chicken-jam
38,Privacy Policy Jam,0,0,https://www.itch.io/jam/privacy-policy-jam
251,Hitbox's DreamHack LiveJam 2018,0,1,https://www.itch.io/jam/dreamhack-livejam-2018
763,"Pembroke Dock Mini Jam (Wales, UK)",0,0,https://www.itch.io/jam/pdminijam-jan17
577,The Home Jam,0,0,https://www.itch.io/jam/the-home-jam
0,October 1st Game Jam-Scramble,0,0,https://www.itch.io/jam/october-1st-game-jam
2946,Sticky Note Jam,0,2,https://www.itch.io/jam/sticky-note-jam
249,March of the Devs: 24-Hour Game Jam,0,0,https://www.itch.io/jam/march-of-the-devs
378,SlamJam 1,0,0,https://www.itch.io/jam/slamjam1
999,Really Retro Jam no.4,0,0,https://www.itch.io/jam/really-retro-jam-no4
1610,PlixerJam,0,0,https://www.itch.io/jam/plixerjam
3228,Unfolding Jam,0,0,https://www.itch.io/jam/unfolding-jam
349,Games that really butter my egg roll,0,0,https://www.itch.io/jam/games-that-butter-my-egg-roll
7945,Twine Mine Arms,0,0,https://www.itch.io/jam/twine-mine-arms
444,🔵 The fox and mouse Jam 🍯🔵,3,0,https://www.itch.io/jam/popo-shop-in-a-jar-with-jam
94,Dr. Phil Jam,1,0,https://www.itch.io/jam/dr-phil-jam
539,PNGE jam - Processing No Game Engine jam #01,0,0,https://www.itch.io/jam/pnge01
2047,Jam del Libro 2017,0,0,https://www.itch.io/jam/jamdellibro17
347,JAMROCK JAM #2,1,0,https://www.itch.io/jam/jamrock-jam-2
2138,The Balloon Co Reverse Exploitation Anti-Contest JAM,0,0,https://www.itch.io/jam/bc20182019
2291,Game Jam de Comunidades CPMX6 Reto 48,0,0,https://www.itch.io/jam/jamcomunidadescpmx6_reto_48
494,Pi Day Jam 2015,0,0,https://www.itch.io/jam/pi-day-jam-2015
1153,AIE's Fall Prog Jam - 2018,0,0,https://www.itch.io/jam/aiefall2018
0,Women Game Jam BR,0,0,https://www.itch.io/jam/women-game-jam-br
1912,Danmaku Game Jam,0,0,https://www.itch.io/jam/danmakugamejam
539,Sky is never the limit,1,0,https://www.itch.io/jam/sky-is-never-the-limit
709,GACUCon #GameJam4Good,0,0,https://www.itch.io/jam/gacucon-game-jam-4-good
978,Neon Game Jam,0,0,https://www.itch.io/jam/cyberpunk-game-jam
1791,Board Game Indios Verdes,0,0,https://www.itch.io/jam/board-game-indios-verdes
808,4 Hour Jam #0,0,0,https://www.itch.io/jam/4-hour-jam-0
519,Edu Game Jam #1,0,0,https://www.itch.io/jam/edu-game-jam1
584,Even Weekend Game Jam 5,1,0,https://www.itch.io/jam/even-weekend-game-jam-5
1522,HawkSandwich's Surreal Jam,2,0,https://www.itch.io/jam/hawksandwich-surreal-jam
98,DoubleGameJam,1,0,https://www.itch.io/jam/doublegamejam
368,Collectathon Madness Game Jam,0,0,https://www.itch.io/jam/collectathon-madness
6188,4 o'clock yearly VN jam 2018-2019,0,0,https://www.itch.io/jam/4oclock-vn-jam-2018-2019
254,Pogo Jam,0,0,https://www.itch.io/jam/pogo-jam
706,Game Jam Impact w/ Y nov Game Jam - Equal opportunities / égalité des chances,0,0,https://www.itch.io/jam/gamejamimpactynov
1008,Gamejam ISIS,0,0,https://www.itch.io/jam/gamejam-isis
837,🎄🎄🎄 Christmas Tree Jam 🎄🎄🎄,1,0,https://www.itch.io/jam/christmastree
3207,Hispanic Heritage Month Game Jam (#HHMJam),0,0,https://www.itch.io/jam/hhmjam15
1096,"The ""Goat on the Go"" Green-Screen Gameboy Jam",0,0,https://www.itch.io/jam/green-screen-gameboy-jam
758,Gamejam on mathematics,1,0,https://www.itch.io/jam/gamejam-on-mathematics
1019,Salt World Winter 2013 Jam,1,0,https://www.itch.io/jam/saltw-winter-2013-jam
1415,Frenemy,0,0,https://www.itch.io/jam/frenemy
871,Polish GameJam #1,0,0,https://www.itch.io/jam/polish-gamejam-1
89,1Up Jam 2017,0,0,https://www.itch.io/jam/1up-jam-2017
1115,Paris Still Jamming,1,0,https://www.itch.io/jam/paris-still-jamming
63,HEJ #3,0,0,https://www.itch.io/jam/hej-3
416,Mallard Jam,0,0,https://www.itch.io/jam/mallard-jam
1568,Elytra FOSSJam,0,0,https://www.itch.io/jam/elytra-fossjam
245,Rain Jam # 1,0,0,https://www.itch.io/jam/rain-jam-1
2506,Dev Night Tiny Jam,0,0,https://www.itch.io/jam/dev-night-tiny-jam
122,Finish Your Sh*t,0,0,https://www.itch.io/jam/finish-your-sht
80,Spooktober 2K18,0,0,https://www.itch.io/jam/spooktober
265,Easterfest!,0,0,https://www.itch.io/jam/easterfest
438,Boo Jam 2015,0,0,https://www.itch.io/jam/boooooo-jam
3107,Jam For The Breakfast Of Tomorrow,0,0,https://www.itch.io/jam/jam-for-the-breakfast-of-tomorrow
18,MadridGameJam,0,0,https://www.itch.io/jam/madridgamejam
37,Old Software Jam 2019,0,0,https://www.itch.io/jam/old-software-jam-2019
1761,Weekly Rainbow Jam 7,0,0,https://www.itch.io/jam/weekly-rainbow-jam-7
2268,Spiltalent - maj 2019,0,0,https://www.itch.io/jam/spiltalentmaj2019
4909,Ordlek,0,0,https://www.itch.io/jam/ordlek
2762,Game Jam 4 Weekend #7,0,0,https://www.itch.io/jam/gj4w7
866,Takeshi's Challenge Jam,0,1,https://www.itch.io/jam/takeshis-challenge-jam
