jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,duration,desc_len,jam_name_y,num_imgs,num_vids,num_hosts,popular
,2016-05-22 22:59:59,zerofiftyone,Wizard Jam 2016,92,0,47,2016-05-06 23:00:00,https://www.itch.io/jam/wizard-jam-2016,383.9997222222222,1857,Wizard Jam 2016,0,0,1,Yes
,2019-02-22 05:00:00,fadingroots,Felonious Fauna 2k19!,97,0,47,2019-02-01 05:00:00,https://www.itch.io/jam/feloniousfauna,504.0,2131,Felonious Fauna 2k19!,1,0,1,Yes
,2018-05-02 22:59:59,Sophie Houlden,Chess Jam,246,0,47,2018-03-31 23:00:00,https://www.itch.io/jam/chess-jam,767.9997222222222,166,Chess Jam,0,0,1,Yes
,2016-12-14 12:00:00,ShaunJS,GameMaker Studio 2 - Beta Jam,175,0,46,2016-11-30 00:00:00,https://www.itch.io/jam/gms2betajam,348.0,1609,GameMaker Studio 2 - Beta Jam,1,0,1,Yes
,2018-12-21 23:59:59,Infokub Arcade,Jam de l'Avent 2018,16,0,46,2018-11-30 23:00:00,https://www.itch.io/jam/jam-de-lavent-2018,504.9997222222222,2689,Jam de l'Avent 2018,0,0,1,Yes
,2015-10-31 00:00:00,Rachel Kaye,FUCK CAPITALISM JAM,35,0,46,2015-06-19 23:00:00,https://www.itch.io/jam/fuck-capitalism-jam,3193.0,336,FUCK CAPITALISM JAM,0,0,1,Yes
,2019-05-16 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 96,186,0,45,2019-05-10 17:00:00,https://www.itch.io/jam/weekly-game-jam-96,144.0,1298,Weekly Game Jam - Week 96,0,0,3,Yes
,2017-09-06 06:59:59,Adam Le Doux,A Secret (Bitsy Jam),157,0,45,2017-08-26 07:00:00,https://www.itch.io/jam/a-secret,263.9997222222222,901,A Secret (Bitsy Jam),0,0,1,Yes
,2019-09-20 23:00:00,Women Game Jam Latam||rapyo||HugoLeMoy,Women Game Jam Latinamerica,95,0,45,2019-09-06 21:00:00,https://www.itch.io/jam/wgjlatam,338.0,1020,Women Game Jam Latinamerica,0,0,3,Yes
,2018-07-31 22:59:59,AshG,Gothic Novel Jam,172,0,45,2018-06-30 23:00:00,https://www.itch.io/jam/gothic-novel-jam,743.9997222222222,2558,Gothic Novel Jam,0,1,1,Yes
,2017-06-26 19:00:00,jmas,frog jam,143,0,44,2017-06-23 19:00:00,https://www.itch.io/jam/frog-jam,72.0,103,frog jam,1,0,1,Yes
,2019-06-30 06:59:59,Portland Indie Game Squad,Summer Slow Jams June 2019: Arcade Games,173,0,44,2019-06-19 03:00:00,https://www.itch.io/jam/ssjarcade,267.9997222222222,2943,Summer Slow Jams June 2019: Arcade Games,2,0,1,Yes
,2018-12-03 04:59:59,Adam Le Doux,Ghost (Bitsy Jam),81,0,43,2018-11-24 05:00:00,https://www.itch.io/jam/ghost-bitsy,215.99972222222223,983,Ghost (Bitsy Jam),0,0,1,Yes
,2017-05-08 03:59:59,Nyu Media||Jay Rab,★ TyranoBuilder Spring Game Jam 2017! ★,320,0,43,2017-03-09 14:00:00,https://www.itch.io/jam/tyranojam17,1429.9997222222223,3331,★ TyranoBuilder Spring Game Jam 2017! ★,2,0,2,Yes
,2018-04-02 06:59:59,Adam Le Doux,Archaeology (Bitsy Jam),79,0,42,2018-03-23 07:00:00,https://www.itch.io/jam/archaeology-bitsy,239.99972222222223,912,Archaeology (Bitsy Jam),0,0,1,Yes
,2017-02-12 23:45:00,HOMEOFNERDS||jamesharris,Home of Nerds Game Jam,140,0,41,2017-02-10 09:00:00,https://www.itch.io/jam/home-of-nerds-game-jam,62.75,4639,Home of Nerds Game Jam,4,0,2,Yes
,2018-03-01 07:59:59,Adam Le Doux,oh no (bitsy jam),64,0,41,2018-02-23 08:00:00,https://www.itch.io/jam/oh-no-bitsy,143.99972222222223,890,oh no (bitsy jam),0,0,1,Yes
,2018-11-25 18:00:00,Feldo,1-Button Jam 2018,119,0,41,2018-11-18 18:00:00,https://www.itch.io/jam/1-button-jam,168.0,2905,1-Button Jam 2018,1,0,1,Yes
,2018-11-01 03:00:00,5targuy,DarkTober Game Jam 2018,196,0,41,2018-10-01 03:00:00,https://www.itch.io/jam/darktober-game-jam-2018,744.0,3503,DarkTober Game Jam 2018,3,0,1,Yes
,2019-05-25 04:00:00,Game Curious Montréal,Anti-fascist Game Jam - Game Jam Antifasciste - Game Jam Antifascista,214,0,41,2019-04-01 04:00:00,https://www.itch.io/jam/antifa-game-jam,1296.0,30014,Anti-fascist Game Jam - Game Jam Antifasciste - Game Jam Antifascista,1,0,1,Yes
,2015-08-16 21:59:59,Ludonaut||dom,A Game By Its Cover 2015,44,0,41,2015-06-19 22:00:00,https://www.itch.io/jam/a-game-by-its-cover-2015,1391.9997222222223,2706,A Game By Its Cover 2015,0,0,2,Yes
,2018-02-12 08:00:00,GameDevsQuest,GDQ One Mechanic Game Jam 3,114,0,40,2018-02-09 08:00:00,https://www.itch.io/jam/omgjam3,72.0,526,GDQ One Mechanic Game Jam 3,0,1,1,Yes
,2016-12-12 21:00:00,QaziTV,QaziJam 9 - Game Jam For Good,77,0,40,2016-12-09 20:00:00,https://www.itch.io/jam/qazijam9,73.0,4168,QaziJam 9 - Game Jam For Good,1,0,1,Yes
,2016-10-30 23:59:59,Sophie Houlden,Fishing Jam 2,231,0,39,2016-10-23 23:00:00,https://www.itch.io/jam/fishing-jam-2,168.99972222222223,51,Fishing Jam 2,0,0,1,Yes
,2016-06-29 22:00:00,Gaeel,Toolbox Jam,130,0,39,2016-05-18 18:47:20,https://www.itch.io/jam/toolbox-jam,1011.2111111111111,1402,Toolbox Jam,0,0,1,Yes
,2019-07-25 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 106,127,0,38,2019-07-19 17:00:00,https://www.itch.io/jam/weekly-game-jam-106,144.0,1296,Weekly Game Jam - Week 106,0,0,2,Yes
,2019-01-10 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 78,130,0,38,2019-01-04 17:00:00,https://www.itch.io/jam/weekly-game-jam-78,144.0,1291,Weekly Game Jam - Week 78,0,0,2,Yes
,2019-03-31 22:59:59,Sophie Houlden,Don't Make a Game,380,0,38,2019-03-24 00:00:00,https://www.itch.io/jam/dont-make-a-game,190.99972222222223,181,Don't Make a Game,0,0,1,Yes
,2016-01-18 00:59:59,Sophie Houlden,Myst Jam,136,0,38,2016-01-09 00:00:00,https://www.itch.io/jam/myst-jam,216.99972222222223,130,Myst Jam,0,0,1,Yes
,2017-04-09 19:00:00,Rosa Carbo-Mascarell||Danny Gallagher,Slow Game Jam,231,0,38,2017-03-25 00:00:00,https://www.itch.io/jam/slow-game-jam,379.0,2466,Slow Game Jam,1,0,2,Yes
,2019-04-01 04:59:59,supajackle||Meg Ziegler,Roll To Craft: A Tabletop Jam,151,0,38,2019-03-01 06:00:00,https://www.itch.io/jam/rtbjam,742.9997222222222,6506,Roll To Craft: A Tabletop Jam,12,0,2,Yes
,2016-06-27 08:00:00,Ryan Evans,Simple Jam,149,0,38,2016-05-27 07:00:00,https://www.itch.io/jam/simple,745.0,2130,Simple Jam,0,0,1,Yes
,2019-08-15 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 109,162,0,37,2019-08-09 17:00:00,https://www.itch.io/jam/weekly-game-jam-109,144.0,1318,Weekly Game Jam - Week 109,0,0,3,Yes
,2017-07-10 06:59:59,Adam Le Doux,Daydream (Bitsy Jam),136,0,37,2017-06-28 07:00:00,https://www.itch.io/jam/daydream,287.9997222222222,670,Daydream (Bitsy Jam),0,0,1,Yes
,2019-10-01 04:00:00,Zargo Games||Swords and Flowers||Jay Dragon,Value Your Work Jam,53,0,37,2019-09-01 04:00:00,https://www.itch.io/jam/value-your-work-jam,720.0,1128,Value Your Work Jam,0,0,3,Yes
,2018-01-03 07:59:59,Adam Le Doux,Snow (Bitsy Jam),77,0,36,2017-12-28 08:00:00,https://www.itch.io/jam/snow-bitsy,143.99972222222223,1072,Snow (Bitsy Jam),0,0,1,Yes
,2015-05-10 23:00:00,Sophie Houlden,More Is Better Jam,22,0,36,2015-05-03 23:00:00,https://www.itch.io/jam/moreisbetter,168.0,1234,More Is Better Jam,0,0,1,Yes
,2017-08-15 03:59:59,Ebeth||Doc Saturn,Short and Sweet Jam,147,0,36,2017-08-01 04:00:00,https://www.itch.io/jam/shortnsweet,335.9997222222222,770,Short and Sweet Jam,0,1,2,Yes
,2015-04-08 05:00:00,Cyanide Tea||Lorelei Nguyen,NaNoRenO 2015,39,0,36,2015-03-01 06:00:00,https://www.itch.io/jam/nanoreno-2015,911.0,2230,NaNoRenO 2015,0,0,2,Yes
,2018-11-05 08:00:00,GameDevsQuest,GDQ One Mechanic Game Jam 5,103,0,35,2018-11-02 07:00:00,https://www.itch.io/jam/omgjam5,73.0,5499,GDQ One Mechanic Game Jam 5,0,2,1,Yes
,2018-05-01 06:59:59,Adam Le Doux,Cats (Bitsy Jam),64,0,35,2018-04-26 07:00:00,https://www.itch.io/jam/cats-bitsy,119.99972222222222,957,Cats (Bitsy Jam),0,0,1,Yes
,2019-05-23 17:00:00,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 97,152,0,35,2019-05-17 17:00:00,https://www.itch.io/jam/weekly-game-jam-97,144.0,1301,Weekly Game Jam - Week 97,0,0,3,Yes
