jam_name,jam_url,jam_no_joined,jam_no_submissions
Weekly Hour Game Jam - W19 2017,weekly-hour-game-jam---w19-2017,20,3
LISA: The Pointless Modjam,lisa-the-pointless-modjam,20,6
Indie Galactic Space Jam,indiegalactic,20,19
1 HOUR JAM - Challenge de la semaine UNLEASHED,1-hour-gda-challenge,20,18
Gamecraft!2017,gamecraft2017,20,16
Medio Ambiente-Conservación de especies,conservaciondeespecies,20,4
BILLY BOUNCER JAM,billy-bouncer,20,6
Pixel platform JAM,pixel-platform-jam,20,7
The Winter Holiday Gift Gamejam,winter-jam-2017,20,6
Great British Summer Jam,great-british-summer-jam,20,3
Bloody Jam,bloody-jam,20,7
GDK Spring Jam 2019,gdk-spring-jam-2019,20,11
VAN Jam July 2016,van-jam-july-2016,20,5
EGaDS! Fall 2018 Game Jam,egads-fall-2018-game-jam,20,14
Trijam #13,trijam-13,20,9
Galway Game Jam 7,galwaygamejam7,20,11
Bisexual Pride Jam 2018,bisexual-pride-jam-2018,20,1
9 Day Idle/Clicker Jam,9-day-idle-clicker-jam,20,7
SPJam 2017,spjam17,20,14
Biodesign and the City!,biodesign-and-the-city,20,11
ZeroGravityJam,zerojam,20,12
SAE Brisbane Games - Studio 1 - 17T3 - Wherefore Art Thou?,sae-brisbane-games-studio-1-17t3-wherefore-art-thou,20,12
Cessation of Existence Jam,cessationofexistencejam,20,7
Playmaker Game Jam 2019,playmaker2019,20,8
Total Recall - The DOS Games Tribute Jam,total-recall-the-dos-games-tribute-jam,20,7
4 Hour Jam #4,4-hour-jam-4,20,7
Storyless Story,storyless-story,20,1
FPS-First Person Shooter Jam,fps-first-person-shooter-jam,20,5
Game Dev Fanatics #1 - Game Jam,game-dev-fanatics-1-game-jam,20,6
Fambruary 14th Jam,fambruary-14th-jam,20,2
"The Organising at Work Game ""Jam""",organising-at-work,20,7
Ceci n'est pas un jeu 2019,ceci-nest-pas-un-jeu-2019,20,16
Gameboy Jam,gbstudio-jam,20,2
GAMERella 2018,gamerella2018,20,13
Survive the Game Jam 2,survive-the-game-jam-2,20,3
7ª Game Jam UNIVALI,7-game-jam-univali,20,15
Trijam #27 Do you dare to try?,trijam-27,20,8
Argentina Train Jam 2019,argentina-train-jam-2019,19,7
Galway Game Jam 5,galwaygamejam5,19,11
May Rainbow Jam 2019,may-rainbow-jam-2019,19,1
Submarine Jam,submarine-jam,19,6
April Rainbow Jam 2018,april-rainbow-jam-2018,19,1
Age of Empires 2 Scenario Editor Game Jam (With prizes),age-of-empires-2,19,1
Weekly Hour Game Jam - W1 2017,weekly-hour-game-jam---w1-2017,19,9
IGI Community Game Jam 1,igi-1,19,13
"Canciones del desierto, la tormenta y el mar",canciones-del-desierto-la-tormenta-y-el-mar,19,6
Song Jam 2019,song-jam-1,19,3
Fall Rainbow Jam,fall-rainbow-jam,19,4
Puerto Rico Online Game Jam 2019,prgd-2019,19,6
Post Grind Jam  #4,post-grind-jam4,19,3
12HJam 2,12hjam-2,19,5
Lewd jam,lewd-jam,19,1
Vulcan Jam,vulcanjam,19,7
A MAZE. Train Jam South Africa,a-maze-train-jam-south-africa,19,11
Learn a Tool or Technique Jam,learn-a-tool-or-technique-jam,19,3
Jam Jam Talentum presencial,talentum-presencial,19,17
Song Jam 2019,song-jam-1,19,3
Bedroom Programmer's Jam Volume 1,bedroom-programmers-jam-vol1,19,3
1st AAU Winter Game Jam,1st-aau-winter-game-jam,19,13
Trashy Game Jam 2016,trashy-game-jam-2016,19,5
Boteco JAM #2,botecojam2,19,5
OrcaJam 2017,orcajam-2017,19,12
"Once upon a time, Rick and Morty",onceuponatimerickandmorty1,19,2
ASM Game Jam 2018,asm-game-jam-2018,19,11
Indie Dev Jam Español #1,indie-dev-jam-es-1,19,5
Weekly Hour Game Jam - W1 2017,weekly-hour-game-jam---w1-2017,19,9
Trijam #6 Do you dare to try?,trijam-6,19,10
Age of Empires 2 Scenario Editor Game Jam (With prizes),age-of-empires-2,19,1
r/Vive Winter's End Game Jam,rvive-winters-end-game-jam,19,4
COMO Game Jam 3,como-game-jam-3,19,12
Am I Real? Jam,am-i-real-jam,19,1
100 Button Game Jam,100-button-game-jam,19,4
Submarine Jam,submarine-jam,19,6
Simulator Jam,simulatorjam,19,3
The Great Steampunk Game Jam,the-great-steampunk-game-jam,19,8
Weekly Hour Game Jam - W13 2017,weekly-hour-game-jam---w13-2017,19,5
Godot 3.1 Stable Release Party Jam - 3D only,godot-31-stable-party-jam-3d-only,19,3
International Sustainability Game Jam 2019 [Finals],international-sustainability-game-jam-2019-finals,19,18
We're Just Getting Started! Jam,just-getting-started,19,4
5a Valles Game Jam,5a-valles-game-jam,19,3
DCJAM 2016 - Dreamcast Homebrew GameJam,dcjam-2016,19,2
Weekly Hour Game Jam - W2 2017,weekly-hour-game-jam---w2-2017,19,9
A MAZE. Train Jam South Africa,a-maze-train-jam-south-africa,19,11
Weekly Rainbow Jam - Week 6,weekly-rainbow-jam-6,19,1
UAT Summer Game Jam 2019,uat-summer-game-jam-2019,19,9
Lisp Game Jam 2017 (Hard Mode),lisp-game-jam-2017-hard-mode,19,4
Puerto Rico Online Game Jam 2019,prgd-2019,19,6
Anything Chrismas,anything-chrismasy-,19,6
Meow-y Snow Season GameCraft,meow-y-snow-season-gamecraft,19,6
Galway Game Jam 5,galwaygamejam5,19,11
"Canciones del desierto, la tormenta y el mar",canciones-del-desierto-la-tormenta-y-el-mar,19,6
MGA game jam 2018,mga-game-jam-2018,19,9
Tasjam 2015,tasjam-2015,19,15
PixelGameDevJam,pixelgamedevjam,19,4
Homa Games Monthly Game Jam,hg-monthly-jam-02,19,7
Make Anything!,make-anything,19,11
Vulcan Jam,vulcanjam,19,7
Odd Weekend Game Jam 19,odd-weekend-game-jam-19,19,3
Post Grind Jam  #4,post-grind-jam4,19,3
Argentina Train Jam 2019,argentina-train-jam-2019,19,7
Teacart 1k,teacart-1k,19,19
Splinterlands.io Game Jam!  $1100 Prize Pool!,splinterlandsio-game-jam-1000-prize-pool,19,3
Game Jam Francophone Episode 5 part 2,game-jam-francophone-episode-5-part-2,18,9
Global Applied Game Jam 2018 at POSTECH,global-applied-game-jam-2018,18,13
Meeting Jam 2016,meeting-jam-2016,18,13
NBG International 2015 - 1 Season,nbg-inter-2015,18,19
Trijam #31: Do you dare to try?,trijam-31,18,4
Geek Cave Game Jam 2018,geek-cave-game-jam-2018,18,12
Post Grind Jam #3,post-grind-jam3,18,7
"Chronicles GameDev Challenge, Week 11",chronicles-gamedev-challenge-week-11,18,3
#SaveOGL Game Jam,saveogl-game-jams,18,12
$100 Prize! Ultimate Jamming Championship #1!,100-prize-ultimate-jamming-championship-1,18,3
8ª Game Jam Santa Maria,8gjsm,18,11
ASM Game Jam 2017,asm-game-jam-2017,18,13
Ludum Dare 37 Gran Canaria,ldgc37,18,11
Gamemaker Jam (unofficial),gamemakerjam,18,3
ZGBJAM2,zgb-jam-2,18,8
UAT Workshop Jam,uat-workshop-game-jam,18,4
Alt Ctrl Game Jam 2015,altctrl,18,15
Rage Game Jam,ragegamejam,18,9
Thankful Jam,thankful-jam,18,3
Gamemaker Jam : February,gamemaker-jam--february,18,2
Trijam #29: Do you dare to try?,trijam-29,18,12
GCS JAM 01,gcs-jam-01,18,8
Weekly Hour Game Jam - W27 2017,weekly-hour-game-jam-w27-2017,18,3
VR Austin Jam 2017,vr-austin-jam-2017,18,17
Les Game Jams du RIJV #2 : Histoires Personnelles,les-game-jams-du-rijv-2-histoires-personnelles,18,13
Average Day in Life,ordinarylifesimulation,18,2
Branching Corpses Jam,branching-corpses-jam,18,4
A New Year Rainbow Jam,a-new-year-rainbow-jam,18,3
UE4.20,420,18,1
2.01 - JamNATION + iThrive Games,201-jamnation-ithrive-games,18,13
Tasjam: Election Special,tasjam3,18,11
Summer Random Game Jam,summer-random,18,1
Twine Tuesday (Mystery),twine-tuesday,18,1
BotecoJAM#04 - Seus inimigos são suas armas,botecojam04,18,5
Cloudberry Jam #1,cloudberry-jam-1,18,5
Slug Jam 1,slug-jam-1,18,2
Writers Summer 2019,writers-summer-2019,18,9
Game Jam Francophone Episode 4,game-jam-francophone-episode-4,18,5
BLIND JAM (WIN PRIZES!),blind-jam,18,5
VR Jam,vr-jam-2019,18,4
Weekly Hour Game Jam - W14 2017,weekly-hour-game-jam---w14-2017,18,4
BlendingJam19,blendingjam19,18,12
Definitely Not A Metroid Game (Jam),metroid-clone-jam,18,1
Medieval Times Game Jam,mtgj,18,6
Athens Game Jam 2019,athens-game-jam-2019,18,9
Make A Thing - July 2019,make-a-thing,18,11
Pirate Jam 2018,pirate-jam-2018,18,11
Snail Jam,snail-jam,18,4
Classical 8-Bit RPG,classical-8-bit,18,1
Shayla Games - VR Jam,shaylagames2015,18,17
Ludum Dare 41 - Winnipeg,ludum-dare-41-winnipeg,18,14
UDC Jam Week #5 - Minimalistic,udc-jam-week-5,17,7
Universe Game Jam #2,universe-game-jam,17,10
Jam Nuit Blanche,jam-nuit-blanche,17,11
Unity Spain GameJam,unityspainjam,17,2
The Bitsy Breakfast Jam,the-bitsy-breakfast-jam,17,5
Weekly Hour Game Jam - W29 2017,weekly-hour-game-jam-w29-2017,17,6
JamNATION - Comiccon,jam-nation-comiccon,17,16
ArchaeogameJam,archaeogamejam,17,3
2018 February ICT Game Jam,2018-february-ict-game-jam,17,14
Hypnotic Summer Jam,hypnotic-summer-jam,17,7
Echoes of Earth 2019-B,echoes-of-earth-2019-b,17,4
Big Spooky,big-spooky-,17,16
2015 ZXS Retro Game Jam,2015-zxs-retro-game-jam,17,2
Mechanix Game Jam,mechanix-game-jame,17,3
Game Jam de Narrativa Interativa,twine-br-gj,17,3
Last Minute Jam,last-minute-jam,17,8
Community Game Jam May 2019,community-game-jam,17,8
The 9 Day Simple Jam!,the-9-day-simple-jam,17,4
1 Hour Bitsy Jam @ UE,1-hour-bitsy-jam,17,15
Systemic Game Jam,systemic-game-jam,17,3
Uken Game Jam,uken-game-jam,17,17
Nashville Game Jam #2 (Demakes!),nashville-game-jam-2,17,5
IFRJ Game Jam 6,ifrjam-6,17,7
Unity Game Studio,unity-game-studio,17,14
Code your first game! [game jam],code-your-first-game-game-jam,17,3
Digital Dumpster 2016,digital-dumpster,17,4
ECTOCOMP 2018 (Español),ectocomp-2018-espaol,17,8
TOYJam,toyjam,17,7
Ludum Dare 36 Gran Canaria,ldgc36,17,11
Island Jam V,island-jam-v,17,15
AIE's Alphabet Jam 2019,aiealphajam19,17,10
Nar8 Jam,nar8-jam,17,15
Zero Hour Game Jam,zero-hour-game-jam,17,7
Rolling Waves,rolling-waves,17,6
Games for Good 2019,gamesforgood2019,17,11
Become Better at Something Jam,focus-on-a-weakness-jam,17,6
Jam GameCodeur - Septembre 2016,jam-gamecodeur---septembre-2016,17,2
Mini Jam 5 Experimental science,mini-jam-5th-edition,17,2
2017 Summer ICT Game Jam,2017-summer-ict-game-jam,17,10
Buddy Jam 5,buddy-jam-5,17,1
"Crystal Connections' ""Fantasy Life"" Jam [Prizes]",crystal-connections-fantasy-jam,17,2
Survive the Game Jam 3,survive-the-game-jam-3,17,5
New Years Jam 2017,new-years-jam,17,1
Game Jam Latinoamerica No.1,game-jam-latinoamerica-no1,17,7
IGDA Las Vegas Online Game Jam (OGJ) 02: Electric Boogaloo,igda-las-vegas-online-game-jam-2,17,0
FEMICOM Game Jam #2: DRESS UP,femicom-game-jam-2,17,8
5th Klagenfurt GameJam,5th-klagenfurt-gamejam,17,12
BGSjamXIV,bgsjamxiv,17,7
UdineGameJam – Myths and legends,udinegamejam-myths-legends,17,3
2Color Challenge,2color-challenge,17,0
Construct French Game Jam 6,cfgj6,17,7
TD Game Jam,td-game-jam,17,2
Game Tools Hackathon [8 Bits to Infinity],game-tools-hackathon,17,5
Progression Mechanics 2017,progression-mechanics-2017,17,8
BREAKING NEWS!! Jam,breaking-news-jam-,17,3
Infernal Light Jam,infernal-light-jam,17,5
Ljubljana Ludum Dare Game Jam,ljubljana-ludum-dare-game-jam,17,9
Optical Jam #7,optical-jam-7,17,4
Livre Game Jam,livre-game-jam,17,14
Bear Jams Fall 2019,bear-jams-fall-2019,17,8
49er Game Jam (Fall 2018),49ergamejamf2018,17,9
2.02 - JamNATION + UNITY,202-jamnation-unity,17,15
Medialand Game Jam,medialand-game-jam,17,5
The Krass New Jam 1,krassnewjam,17,6
GamesFyre first community jam,gamesfyre-first-community-jam,17,1
The Curve Digital OlliOlli SkateJam,skatejam,17,16
7D3D,7d3d,17,4
Weekly Hour Game Jam - W11 2017,weekly-hour-game-jam---w11-2017,17,7
WinterJam,winterjam18,17,8
The Krass-N.G. Jam 9!,krassjam9,16,7
Ham Jam 3: Fable,ham-jam-3-fable,16,2
Bard Jam,bard-jam,16,6
AR  Mobile Game Jam #1,ar,16,3
International Love Ultimatum #iluJam,ilujam,16,16
Trijam #37 A 3 hour game jam,trijam-37,16,4
MønJam 2018,moenjam-2018,16,11
Stout IGDA - Spring Game Jam 2019,igda-sp19,16,11
SAE Brisbane Games - Studio 1 - 18T1 - Wherefore Art Thou?,sae-brisbane-games-studio-1-18t1-wherefore-art-thou,16,10
Minimalist Games,minimalist-games,16,5
BridgeBuilder's Breakout Jam,bridgebuilders,16,10
Val do Rio Gamejam 2016,val-do-rio-gamejam-2016,16,17
A Batch of Batch,a-batch-of-batch,16,3
Jam de l'Avent 2018,jam-de-lavent-2018,16,46
Robot Revolution Jam!,robot-revolution-jam,16,1
Island Jam II,island-jam-ii,16,16
"BOLLOSOFT, A Bolloré Game Jam",bollosoft-a-bollor-game-jam,16,6
KMG GAMEJAM 2018,kmg-gamejam-2018,16,9
British Library Labs Crowdsourcing Game Jam,britishlibrary,16,2
Weekly Rainbow Jam - Week 4,weekly-rainbow-jam-4,16,2
IGDA Becker Chapter Tutorial Jam 2019,igda-becker-chapter-tutorial-jam-2019,16,13
GGames,ggames,16,9
Galway Game Jam 8,galwaygamejam8,16,10
Sponsored Open Source browser game jam - $250 in prizes,open-source-transactive-250,16,3
"Game Jam GM Comunidad Latinoamericana ""Papas Fritas""",gmcomunidadlatina2015,16,4
Construct French Game Jam 7,cfgj7,16,5
Writers Summer 2017,writerssummer2017,16,3
Concordia Makes Games 2018,cmg2018,16,14
Summer Jam 2016,summer-jam-klagenfurt-2016,16,6
Games For Good 2018,gamesforgood2018,16,9
Apocalypse Jam,apocalypse-jam,16,3
Sandwich's Spoopy Jam Week #1,sandwichs-spoopy-jam-weekone,16,1
Pixel art Game-Jam (By:  Barddro),pixel-art-game-jambarddro,16,1
Artistic Jam #1,artistic-jam-1,16,2
Forge Jam VI,forge-jam-vi,16,7
4 Hour Jam,4-hour-jam,16,13
Cat Jam,cat-jam-bluepineapple,16,4
LCHS Conspiracy Jam,lchs-conspiracy-jam,16,5
Purple Monkey Game Jam April 2017,purple-monkey-game-jam-april-2017,16,4
Weekend Crazy Jam 3,weekend-crazy-jam-3,16,2
Scare Me Shakeless Jam 2018,scare-me-shakeless-jam-2018,16,5
Deichman Game Jam,deichman-game-jam,16,11
Computer is fine jam!,computer-is-fine,16,3
Songtember,songtember1,16,17
MBMJAM 2015,mbmjam-2015,16,7
UDC Jam Week #4 - Gravity,udc-jam-week-4,16,10
Cloud Jam - I (Beginner/Intermediate),cloud-jam-1,16,4
French Game Jam (Master - Season 1),french-game-jam-master-season-1,16,7
Weekend Game Jam #2,weekend-game-jam-2,16,4
Clone a game and do it better - /agdg/ Jam,agdg-jam-2019-summer,16,2
UDC Jam Week #7 - Factory,udc-jam-week-7,16,5
Sarasota Game Jam - Labor Day Weekend,sarasota-labor-day-weekend-game-jam,16,4
CSS Game Jam 2018,cssgj,16,8
GCS JAM 02,gcs-jam-02,16,8
PERMADEATH RADIO (Spektrum Crush zine),permadeathradio,16,3
Monster Trainer Jam,monstertrainer,16,3
Super design jam 01-2018 2.0,super-design-jam-01-2018-20,16,9
Mouse Movement Jam #2,mouse-movement-jam-2,16,4
Panama Game Jam 2016,PGJAM2016,16,7
Kodsnacks Tvåveckorssylt - Tredje Omgången,spelsylt3,16,8
Weekly Hour Game Jam - W26 2017,weekly-hour-game-jam-w26-2017,16,6
2018 Summer ICT Game Jam,2018-summer-ict-game-jam,16,10
AGDG Global Game Jam 2018,agdg-global-game-jam-2018,16,3
Odd Weekend Game Jam 7,odd-weekend-game-jam-7,16,5
Social Simulation Jam!,socialsim-jam,16,2
Survive the Game Jam 5,survive-the-game-jam-5,16,3
Buddy Jam 6,buddy-jam-6,16,2
BURGER CITY JAM,burger-city,16,3
IndieVault Game Jam,IVgamejam,16,16
Heroic Monsters Game Jam (2D) [Prizes],heroic-monsters-game-jam,15,4
Flying Toast With Jam,flying-toast-with-jam,15,17
CosmoJam,cosmojam,15,5
Spring Game Jam 2019,spring-game-jam-2019,15,11
Ushanka GodotJam,ushanka-gdjam,15,4
Winnipeg Game Jam / Winnitron Jam,winnipeg-and-winnitron-jam,15,15
The Goddess Project November 2017,thegoddessprojectnov2017,15,0
Top Down Jam,shoot,15,3
FroJam,frojam,15,2
Mini Monster Jam,mini-monster-jam,15,7
Gun Jam,gun-jam,15,4
horror jam!,horrorjam,15,5
Komiks Game Jam 2,komiks-game-jam-2,15,15
AIE 2018 September Game Jam,aie-2018-september-game-jam,15,7
UnityNYC XR Jam 2019,unitynyc-xr-jam-2019,15,13
The No-Brainer IF Jam,no-brainer-if-jam,15,8
9 Day Jam #6 - Farming!,9-day-jam-6,15,8
The Black Pixel JAM - 2018,the-black-pixel-jam-2018,15,3
Pirate Jam 2019,pirate-jam-2019,15,9
WWU Winter Game Jam 2017,wwu-game-jam-w17,15,11
#EPJam4,epjam4,15,6
Textual Horror Game jam,textual-horror-game-jam,15,7
Confession Jam 3,confession-jam-3,15,1
M'Dieval,mdieval,15,2
6th Klagenfurt Game Jam,6thklujam,15,11
#LehrerJam 2018,lehrerjam-2018,15,1
Jestercraft Game Jam #1,jestercraft-game-jam-1,15,6
[FR] Nouvim 3000 (fiction interactive),nouvim-3000-an-2019,15,8
ZGBJAM,zgbjam,15,8
November Rainbow Jam,november-rainbow-jam,15,1
#EPJam5,epjam5,15,4
AramJam,aramjam,15,5
Fail To Win,fail-to-win,15,2
GameJam.03,bilgigame-gamejam03,15,9
April Rainbow Jam 2019,april-rainbow-jam-2019,15,2
Rogue-Like-Jam FT Steam Gift Card,rogue-like-jam,15,2
Procedural Generation Jam,procedural-generation-jam,15,4
THE ANNUAL VARIETY MEGAJAM [#3],variety-megajam-3,15,23
Freedom Jam,freedom-jam,15,9
CoMo Game Jam IV - Swipe!,como-game-jam-iv,15,10
Game Dev League September Game Jam,game-dev-league-september-game-jam,15,12
LC Public Domain Jam,lc-public-domain-jam,15,9
The First-Ever Charity Jam Against Homelessness,the-first-ever-charity-jam-against-homelessness,15,8
Flyover Indies Learning Jam 1: A Ball and Paddle Game!,learningjam1,15,7
Interactive Media Jam,interactive-media-jam,15,6
The ULTIMATE Game Jam 2017,ultimate-game-jam-2017,15,2
Arcade Game Jam,arcade-gamejam,15,8
Trijam #38 A 3 hour game jam,trijam-38,15,6
Ham Jam 2: Cake,ham-jam-2-cake,15,4
Chiang Mai Game Jam,chiang-mai-game-jam,15,11
GGJ17MD,ggj17md,15,9
SPPRO Discord GameJam,sppro-discord-gamejam,15,7
Gender Equality Game Jam 2019,gender-equality-jam-2019,15,12
4th Klagenfurt Game Jam,klujam2017,15,11
SPBSU GAME JAM,spbsu-game-jam,15,8
Switcheroo Jam,switcheroo-jam,15,1
Gull Jam 2019,gull-jam-2019,15,8
Game Jam Francophone Episode 6,game-jam-francophone-episode-6,15,1
Look What I Made Weekend,lwimw,15,6
SCP Jam,scp-jam,15,2
Writers Summer 2018,writers-summer-2018,15,3
1st Patras Game Jam,1st-patras-game-jam,15,6
4COOP Jam,4coop,15,2
Ludum Dare 38 Gran Canaria 38,ldgc38,15,12
Trijam #11 - Do you dare to try?,trijam-11,15,7
Make-A-Thing 2019 May,make-a-thing-2019-may,15,3
Forge Jam V,forge-jam-v,15,3
Odd Weekend Game Jam 10,odd-weekend-game-jam-10,15,7
Make-A-Thing 2019 Sept,make-a-thing-2019-sept,15,2
Geta Game Jam #5: Two Worlds,geta-game-jam-5,15,3
Games of the Golden Witch,games-of-the-golden-witch,15,5
Even Month Long Game Jam 1,even-month-long-game-jam-1,15,3
Indie jam 2015 Summer jam,summerjam,15,12
"GJAW #2 - ""What a Knockoff!""",gjawknockoff,15,4
CGD Priestley Game Jam,cgd-priestley-game-jam,14,5
Trijam #12 - the 3 hour game jam!,trijam-12,14,9
VGDA Spring 2019 Semester Projects,vgda-spring-2019-semester-projects,14,13
Got Game UTD 19,got-game-utd-19,14,11
Praxis 1 El Reto,praxis-1,14,10
INDIE COOKIE AWARDS,cookie-awards,14,10
Really Difficult Jam,really-difficult-jam,14,3
3# Mesa de Papelão,3-mesa-de-papelo,14,2
TasJam [un]disciplined,tasjam-undisciplined,14,12
Alt Ctrl Game Jam 2017,altctrl2017,14,4
Spring Has Sprung! Volume 1,spring-has-sprung,14,2
SPPRO Discord GameJam 4,sppro-discord-gamejam-4,14,6
"Local Multiplayer Madness, DT508",local-multiplayer-madness-dt508,14,8
Item End Jam!,item-end-jam,14,1
UDC Jam Week #2 - You Are The Monster,udc-jam-week-2,14,4
7 Day Buggy Jam,7d-buggy-jam,14,4
Triple Flavor Jam,triple-flavor-jam,14,1
ZFX-Action XV,zfx-action-xv,14,3
Scientific Gam Jam 2018 : mettez la science en jeu,scientific-gam-jam-2018-mettez-la-science-en-jeu,14,8
Jam for Kids,jam-for-kids,14,3
Brain Jam,brainjam,14,7
AGDG Jam november 2015,agdg-jam-november-2015,14,3
Tasjam for Health,tasjam-for-health,14,13
SGDA Fall 2015 Game Jam,sgda-fall-2015-game-jam,14,11
City College Plymouth 2nd Game Jam,-game-jam,14,13
The Evolution,the-evolution-,14,4
Weekend Game Jam #1,weekend-game-jam-1,14,4
Funny JAM - 16.0,funny-jam-mlg,14,4
SheHacksGames 2018,shehacksgames2018,14,9
Weekly Hour Game Jam - W7 2017,weekly-hour-game-jam---w7-2017,14,12
Weekly Hour Game Jam - W32 2017,weekly-hour-game-jam-w32-2017,14,1
RPG Maker UnproJam #1 - Detective!,rpg-maker-unprojam-1,14,3
Waypoint Community Jam: 5 Star Creatives 5 Star Jam Times,waypoint-2019,14,2
EnterJam 2,ejam2,14,3
Christmas Fun Jam,christmas-fun-jam,14,6
Gr8ArtGames - Mexico,gr8artgames,14,14
New Brunswick Game Jam,nbgamejam,14,14
Dev-Ween,dev-ween,14,3
Trijam #35: A 3 hour game jam,trijam-35,14,7
Retro Horror Jam,retro-horror-jam,14,4
Cervantes Game Jam,cervantesgamejam,14,2
UCF vs USF Game Jam!,ucf-vs-usf-game-jam,14,11
SCP Fan-dation Jam,scp-fan-jam,14,3
Weekly Hour Game Jam - W20 2017,weekly-hour-game-jam---w20-2017,14,3
Optical Jam #9,optical-jam-9,14,4
Weekend Mini-Zine Jam #1,weekend-mini-zine-jam-1,14,5
48 Secret Jam - September - 2018,48-secret-jam-september-2018,14,3
2017 Athens Game Jam,2017-athens-game-jam,14,6
"Chronicles GameDev Challenge, Week 10",chronicles-gamedev-challenge-week-10,14,1
HawkZombie's Halloween Birthday Jam!,hawkzombie-halloween-birthday-jam,14,1
Reimagine the Dragon,reimagine-the-dragon,14,7
GAME DEV 2019,gama-dev,14,1
Legendary Rainbow Jam,legendary-rainbow-jam,14,1
September Jam 2018,september-jam-2018,14,11
OpenJam 2018,openjam2018,14,3
GDGT - Santo Jam! 2017,gdgt-santo-jam-2017,14,6
Sandwich's Spoopy Jam Week #2,sandwichs-spoopy-jam-week2,14,4
2017 February ICT Game Jam,2017-february-ict-game-jam,14,10
Bullet Bash,bullet-bash,14,2
Spaghetti Western Jam,spaghetti-western-jam,14,13
Weekend Crazy Jam 2,weekend-crazy-jam-2,14,2
Cultura Abierta [English Version],cultura-abierta-english-version,14,1
HODUR sound based jam,hodur-2018,14,2
FPS Mini Jam #2,fps-mini-jam-2,14,4
Unfinished Games Week 2015,unfinishedweek,14,15
AI Game Jam,ai-game-jam,14,12
Even Weekend Game Jam 4,even-weekend-game-jam-4,14,5
French Game Jam,french-game-jam,14,4
Even Weekend Game Jam 9,even-weekend-game-jam-9,14,4
Destruction Game Jam,destruction-game-jam,14,2
Trijam #3,trijam-3,14,5
GameJam.01,bilgigame-gamejam01,14,5
Steamy GameJam 2,steamy-gamejam,14,4
Faith-Based Game Jam #1,faith-based-game-jam-1,14,2
Trijam #15 - the 3 hour game jam!,trijam-15,14,9
Spring With Creativity,spring-with-creativity,14,1
Game Start 2019-1,game-start-2019-1,14,9
AIE Jam,aie-jam,14,4
stealthjam,stealthjam,14,1
lvlupgamejam 2019,lvlupgamejam,14,14
#EPJam2,epjam-2,14,10
Untitled Game Jam #5,untitled-game-jam-5,14,2
PONG - Ludum Dare 44,pong-ludum-dare-44,14,6
Spy Jam,spy-jam,13,1
Gamejam Internal Season 5,gamejam-internal-season-5,13,12
Ham Jam 4: Experiment,ham-jam-4-experiment,13,1
Angel Jam,angel-jam,13,4
MoonPixelGames4Fun,moonpixelgames4fun,13,2
SPPRO Discord GameJam 6,sppro-discord-gamejam-6,13,5
GMS Jam Brasil,gmsjambr,13,4
Trijam #22,trijam-22,13,8
Spooky Game Jam 2018,spooky-game-jam-2018,13,6
The Health Jam,the-health-jam,13,1
Winnipeg Ludum Dare 44,winnipeg-ludum-dare-44,13,6
Micro Jam,micro-jam,13,0
Weekly Rainbow Jam 9,weekly-rainbow-jam-9,13,4
1-Up Game Jam 2017,1-up-game-jam-2017,13,4
Delthor Jam #2,delthor-jam-2,13,3
Odd Week Long Game Jam 4,odd-week-long-game-jam-4,13,1
72LezGameJam#1,72lezgamejam1,13,3
Scientific Gam Jam 2019 à Grenoble : mettez la science en jeu,scientific-gam-jam-2019-grenoble-mettez-la-science-en-jeu,13,11
EDC Random Idea Jam 2015,edc-random-idea-jam-2015,13,28
Trijam #30: Do you dare to try?,trijam-30,13,9
#KIWIJAM16,kiwijam16,13,8
Team Jam,team-jam,13,1
Fire Jam #4,fire-jam-4,13,2
Illogic Jam #1,illogic-jam-1,13,1
BadJam!,badjam,13,2
Spook Jam,spook-jam,13,7
Weekend Game Jam #4,weekend-game-jam-4,13,2
Chair Jam,chair-jam,13,5
Non-Violent FPS Jam!,non-violent-fps-jam,13,5
HüttenJam,huettenjam,13,6
UDC Jam Week #8 - 30 Seconds,udc-jam-week-8,13,6
Gamemaker Jam (unofficial) 2,gamemaker-jam-unofficial-2,13,1
Dimentio's Demented Game Jam,dimentios-demented-game-jam,13,5
2D 48 hour Game Jam,2d48h0urjam2834,13,2
kusojam,kusojam,13,3
CoMo Game Jam V,como-game-jam-v,13,10
JamGame - The Backwards Game Jam,jamgame,13,13
GDQ One Mechanic Game Jam,one-mechanic-game-jam,13,3
Weekend Game Jam #3,weekend-game-jam-3,13,4
Weekly Hour Game Jam - W5 2017,weekly-hour-game-jam---w5-2017,13,10
Wrench Jams - Noisy Jam,wrench-jams-noisy-jam,13,3
Kirby Game Jam,kirby-game-jam,13,1
Global Game Jam: Nashville,ggj-nashville-2016,13,7
Optical Jam #4,optical-jam-4,13,3
Kentucky Fried Pixels 2,kfp2,13,8
Gamejam dos Inacabados,gamejam-dos-inacabados,13,7
8-bit SITC Game Jam,8-bit-sitc-game-jam,13,2
The Finish a Game Jam,the-finish-a-game-jam,13,12
PG game jam,pg-game-jam,13,3
Gamejam Uniandes 2018,gamejam-uniandes-2018,13,11
Novosibirsk LDJAM #43 Gathering #SibGameJam,sibgamejam2018,13,9
Flame's Game Jam Of Epicness,1243765764897954567089756589765,13,12
Winter Jam,winter-jam-humber,13,3
